# Constructed from biom file
#OTU ID	F42-H8	F25-T8	F35-T8	F08-H0	F25-H0	F24-H0	F37-H0	F21-H0	F26-H8	F17-T8	F27-T8	F36-H8	F18-H0	F30-T8	F25-T0	F28-T0	F44-T0	F08-T0	F31-T8	F27-H8	F42-H0	F01-H0	F24-T0	F31-T0	F08-T8	F45-H0	F32-H8	F19-H0	F06-H0	F23-T8	F30-T0	F22-T0	F04-H0	F37-T8	F10-T8	F10-T0	F17-T0	F19-T0	F36-T8	F26-T0	F18-H8	F04-T0	F19-H8	F12-T8	F14-T8	F12-T0	F39-H0	F34-H0	F12-H8	F33-T0	F17-H0	F06-H8	F21-T0	F45-T8	F28-T8	F11-H8	F14-T0	F44-T8	F23-H0	F45-T0	F20-H8	F45-H8	F35-T0	F18-T8	F22-H8	F13-H8	F08-H8	F06-T8	F42-T8	F38-T8	F06-T0	F39-T0	F04-T8	F11-H0	F09-H8	F30-H8	F15-T0	F09-H0	F20-H0	F16-T0	F10-H0	F42-T0	F30-H0	F14-H8	F23-T0	F38-T0	F16-H8	F20-T0	F35-H8	F37-T0	F39-H8	F05-T0	F31-H8	F33-H0	F10-H8	F33-T8	F11-T8	F01-H8	F20-T8	F09-T8	F21-H8	F24-H8	F16-T8	F28-H8	F05-H0	F15-H0	F44-H8	F13-T0	F32-T0	F37-H8	F14-H0	F09-T0	F01-T0	F19-T8	F39-T8	F34-H8	F27-H0	F04-H8	F05-H8	F31-H0	F32-T8	F01-T8	F21-T8	F22-H0	F32-H0	F33-H8	F15-H8	F05-T8	F36-T0	F18-T0	F16-H0	F25-H8	F26-H0	F34-T8	F22-T8	F17-H8	F38-H8	F38-H0	F44-H0	F27-T0	F28-H0	F24-T8	F23-H8	F34-T0	F13-T8	F36-H0	F15-T8	F26-T8	F35-H0	F12-H0	F13-H0	F11-T0
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae_42771	16.0	1480.0	23.0	5691.0	5915.0	35.0	20.0	21.0	25.0	125.0	210.0	4.0	19.0	32.0	6791.0	14.0	27.0	5311.0	8.0	31575.0	2.0	18.0	22.0	8.0	586.0	26.0	25.0	11.0	13.0	22.0	14.0	168.0	7.0	14.0	103.0	9.0	15.0	36.0	19.0	32.0	19.0	15.0	36.0	41.0	24.0	15.0	278.0	22.0	12.0	1017.0	32.0	86.0	80.0	10.0	9.0	23.0	28.0	27.0	2.0	48.0	27.0	13.0	1.0	16.0	108.0	18.0	21.0	31.0	2.0	32.0	1581.0	9.0	9.0	15.0	2472.0	8.0	189.0	5004.0	36.0	58.0	20.0	2.0	12.0	14.0	37.0	7.0	9.0	43.0	28.0	14.0	285.0	1782.0	23.0	115.0	3043.0	23.0	38.0	30.0	9.0	2591.0	11.0	6.0	43.0	26.0	2776.0	49.0	92.0	50.0	13.0	2.0	0.0	15.0	27.0	19.0	394.0	48.0	2032.0	21.0	807.0	18.0	102.0	22.0	28.0	25.0	15.0	389.0	53.0	791.0	2.0	27.0	7.0	6128.0	8.0	49.0	16.0	25.0	24.0	2.0	63.0	80.0	13.0	19.0	10.0	286.0	7.0	20.0	52.0	27.0	12.0	25.0	22.0	10.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae	3783.0	3867.0	1387.0	2728.0	1437.0	2946.0	5602.0	4089.0	2695.0	5250.0	1740.0	1796.0	2685.0	2839.0	567.0	7485.0	4654.0	1403.0	1762.0	3390.0	2383.0	5042.0	6614.0	112.0	1326.0	2109.0	3709.0	3119.0	4081.0	3525.0	1921.0	2269.0	763.0	10681.0	9272.0	2311.0	2073.0	5422.0	1893.0	2188.0	3345.0	752.0	6950.0	6640.0	3719.0	3780.0	5909.0	3392.0	4400.0	1868.0	1568.0	1533.0	595.0	515.0	1211.0	4362.0	2099.0	6632.0	1461.0	684.0	1355.0	732.0	442.0	5381.0	2109.0	1300.0	12555.0	13213.0	4718.0	7309.0	5920.0	480.0	2951.0	3609.0	1564.0	830.0	3578.0	591.0	7851.0	1224.0	3425.0	5924.0	2912.0	2369.0	4217.0	2096.0	1453.0	828.0	4960.0	6659.0	2937.0	781.0	849.0	2605.0	2689.0	780.0	3239.0	10451.0	4512.0	1500.0	3269.0	651.0	3649.0	22240.0	1247.0	1480.0	6218.0	1735.0	1184.0	1487.0	346.0	2467.0	2859.0	2120.0	2184.0	4586.0	2553.0	1824.0	1503.0	3657.0	6185.0	1150.0	3578.0	2101.0	2655.0	1755.0	2494.0	1092.0	551.0	3846.0	1924.0	370.0	1195.0	7352.0	3206.0	6288.0	2813.0	772.0	12694.0	565.0	4115.0	10277.0	2889.0	3054.0	963.0	1875.0	1311.0	3133.0	4779.0	2702.0	941.0	1458.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	11321.0	6697.0	24340.0	25044.0	27978.0	15793.0	6241.0	17617.0	24075.0	10004.0	9800.0	1723.0	5302.0	15586.0	17883.0	11189.0	18586.0	9258.0	17275.0	51172.0	3595.0	14206.0	23305.0	4515.0	10881.0	31400.0	15620.0	10759.0	11110.0	4471.0	10176.0	9510.0	5380.0	13256.0	24050.0	6369.0	7235.0	12844.0	25511.0	33084.0	12904.0	8583.0	21236.0	9882.0	6522.0	3416.0	18349.0	8514.0	6986.0	15441.0	4552.0	23578.0	4663.0	30474.0	11491.0	23929.0	10277.0	15574.0	5984.0	3318.0	7890.0	22094.0	5787.0	1683.0	6997.0	14567.0	10138.0	37324.0	5699.0	11377.0	32816.0	2756.0	16764.0	18062.0	12299.0	10004.0	23879.0	16794.0	6226.0	16100.0	9767.0	5488.0	6943.0	11683.0	19594.0	6871.0	25141.0	6900.0	23703.0	7319.0	4377.0	13551.0	15447.0	6648.0	18925.0	4391.0	8181.0	3448.0	4010.0	20144.0	13615.0	6805.0	26363.0	14047.0	17938.0	4595.0	9369.0	8765.0	3237.0	2691.0	3926.0	19312.0	5030.0	14693.0	3609.0	7695.0	8766.0	30082.0	7773.0	15761.0	5956.0	10366.0	43224.0	8029.0	8592.0	8232.0	5766.0	7024.0	4161.0	2521.0	11978.0	21637.0	7718.0	6560.0	6693.0	12232.0	5679.0	2547.0	25294.0	19687.0	5624.0	18151.0	17505.0	7219.0	7037.0	13868.0	7602.0	44161.0	19091.0	5237.0	13644.0	5012.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__	557.0	43.0	855.0	37.0	404.0	29.0	363.0	2.0	20.0	2220.0	2709.0	10.0	940.0	933.0	18.0	1154.0	1859.0	21.0	530.0	1445.0	489.0	604.0	14.0	31.0	20.0	2312.0	430.0	2.0	904.0	47.0	405.0	1570.0	196.0	2041.0	3.0	17.0	1345.0	2.0	16.0	52.0	827.0	193.0	28.0	3130.0	204.0	2892.0	722.0	661.0	1027.0	7.0	837.0	2256.0	0.0	2330.0	822.0	1009.0	856.0	1292.0	43.0	113.0	1792.0	2670.0	5.0	14.0	1662.0	25.0	11.0	6315.0	528.0	174.0	28.0	199.0	832.0	500.0	13.0	950.0	4715.0	13.0	874.0	19.0	3.0	170.0	510.0	465.0	60.0	986.0	16.0	2078.0	3307.0	425.0	61.0	21.0	83.0	20.0	53.0	7.0	1044.0	45.0	252.0	24.0	5.0	8.0	91.0	1125.0	21.0	434.0	41.0	18.0	71.0	205.0	254.0	2908.0	44.0	5.0	188.0	1681.0	307.0	422.0	10.0	1362.0	799.0	759.0	16.0	401.0	308.0	10.0	2068.0	0.0	6.0	143.0	13.0	75.0	14.0	828.0	503.0	1427.0	27.0	293.0	684.0	2220.0	789.0	22.0	31.0	778.0	9.0	16.0	1939.0	34.0	2236.0	2555.0	20.0	645.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae	8153.0	7865.0	8632.0	18616.0	5303.0	25066.0	7390.0	8347.0	6858.0	2167.0	2991.0	8924.0	5421.0	7960.0	4424.0	4678.0	9325.0	5712.0	3348.0	18477.0	3600.0	12230.0	11797.0	2538.0	1020.0	5584.0	5711.0	5828.0	10212.0	9109.0	5440.0	4733.0	2363.0	8898.0	9637.0	3094.0	2777.0	17622.0	1344.0	3337.0	2955.0	7569.0	20658.0	3896.0	13229.0	1032.0	9261.0	2695.0	4003.0	6737.0	2935.0	6010.0	3173.0	5284.0	5620.0	4651.0	4858.0	12744.0	1150.0	1550.0	5911.0	2902.0	11649.0	16703.0	8279.0	7238.0	8364.0	6402.0	1112.0	14574.0	4493.0	286.0	2279.0	7461.0	3964.0	2855.0	12802.0	9474.0	8511.0	4651.0	6656.0	1201.0	3965.0	4532.0	1926.0	1666.0	4247.0	4006.0	3112.0	6009.0	6517.0	3039.0	6066.0	8261.0	6315.0	5481.0	2670.0	16327.0	3794.0	10550.0	7865.0	3965.0	2408.0	5916.0	1700.0	2741.0	8999.0	3638.0	2590.0	1640.0	1167.0	1599.0	5243.0	4399.0	2313.0	5433.0	6105.0	6700.0	2680.0	4573.0	5406.0	2377.0	4143.0	11334.0	3971.0	4906.0	4523.0	2581.0	512.0	5275.0	7148.0	2099.0	3227.0	9396.0	7413.0	5330.0	13151.0	1523.0	35815.0	634.0	5610.0	10484.0	3150.0	3682.0	2746.0	8757.0	926.0	8858.0	10071.0	10333.0	4760.0	1270.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Christensenellales;f__CAG-138	120.0	15.0	11.0	8.0	7.0	10.0	15.0	8.0	18.0	546.0	6.0	8.0	206.0	6.0	2.0	16.0	13.0	6.0	8.0	18.0	46.0	13.0	4.0	4.0	0.0	29.0	281.0	144.0	10.0	38.0	12.0	10.0	4.0	16.0	74.0	300.0	243.0	14.0	8.0	34.0	185.0	7.0	126.0	2645.0	352.0	377.0	68.0	355.0	182.0	6.0	294.0	9.0	2.0	10.0	17.0	438.0	1070.0	12.0	32.0	0.0	152.0	6.0	6.0	145.0	13.0	6.0	58.0	5.0	99.0	21.0	10.0	0.0	0.0	44.0	37.0	7.0	821.0	43.0	95.0	14.0	56.0	243.0	7.0	2192.0	58.0	17.0	6.0	26.0	31.0	7.0	13.0	15.0	4.0	16.0	76.0	9.0	435.0	12.0	18.0	14.0	7.0	0.0	4.0	18.0	8.0	76.0	5.0	7.0	58.0	29.0	373.0	3.0	0.0	9.0	17.0	2506.0	0.0	8.0	4.0	10.0	166.0	4.0	10.0	6.0	85.0	13.0	841.0	0.0	8.0	253.0	5.0	6.0	4.0	532.0	59.0	433.0	11.0	10.0	25.0	14.0	5.0	8.0	51.0	374.0	0.0	21.0	98.0	16.0	13.0	394.0	6.0	1114.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae	1007.0	115.0	1180.0	3497.0	362.0	3117.0	82.0	2401.0	789.0	460.0	1285.0	2609.0	2217.0	631.0	92.0	160.0	471.0	266.0	78.0	432.0	259.0	77.0	131.0	35.0	373.0	261.0	2206.0	4113.0	104.0	1143.0	895.0	1652.0	169.0	118.0	3549.0	1290.0	564.0	4215.0	3225.0	2743.0	557.0	166.0	4248.0	2967.0	1969.0	1831.0	865.0	555.0	757.0	283.0	1640.0	298.0	352.0	306.0	106.0	1479.0	1250.0	607.0	493.0	213.0	353.0	165.0	1481.0	793.0	2273.0	1409.0	1618.0	336.0	270.0	212.0	945.0	105.0	153.0	1208.0	998.0	176.0	4072.0	327.0	694.0	133.0	1443.0	415.0	78.0	4879.0	851.0	131.0	119.0	107.0	2292.0	52.0	347.0	62.0	83.0	573.0	1642.0	110.0	1032.0	79.0	679.0	221.0	1296.0	188.0	91.0	179.0	147.0	1482.0	650.0	239.0	171.0	161.0	344.0	130.0	33.0	1405.0	507.0	1164.0	105.0	1185.0	537.0	202.0	432.0	61.0	168.0	934.0	1331.0	739.0	9108.0	129.0	460.0	4311.0	36.0	139.0	697.0	4605.0	342.0	3056.0	54.0	182.0	1279.0	586.0	297.0	1618.0	1451.0	1369.0	340.0	1976.0	700.0	1880.0	1795.0	2148.0	698.0	1165.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	686.0	27.0	478.0	180.0	14.0	117.0	208.0	12.0	90.0	339.0	543.0	28.0	189.0	482.0	17.0	490.0	952.0	38.0	242.0	777.0	245.0	247.0	125.0	36.0	167.0	666.0	389.0	122.0	8.0	109.0	517.0	557.0	102.0	446.0	1901.0	234.0	634.0	236.0	187.0	260.0	569.0	140.0	193.0	768.0	77.0	243.0	872.0	178.0	375.0	203.0	210.0	39.0	18.0	697.0	178.0	751.0	408.0	376.0	102.0	45.0	277.0	605.0	288.0	47.0	474.0	11.0	601.0	19.0	339.0	67.0	480.0	84.0	673.0	470.0	77.0	342.0	633.0	90.0	460.0	21.0	511.0	630.0	15.0	113.0	305.0	41.0	19.0	337.0	549.0	298.0	116.0	10.0	74.0	269.0	587.0	57.0	420.0	52.0	280.0	54.0	11.0	44.0	16.0	227.0	14.0	97.0	287.0	36.0	95.0	53.0	89.0	7.0	15.0	264.0	220.0	651.0	662.0	149.0	55.0	516.0	212.0	72.0	35.0	409.0	256.0	197.0	218.0	26.0	104.0	61.0	15.0	17.0	55.0	456.0	378.0	660.0	14.0	28.0	229.0	539.0	349.0	116.0	284.0	386.0	4.0	396.0	89.0	234.0	450.0	376.0	17.0	244.0
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660	2.0	4.0	34.0	4.0	0.0	0.0	0.0	139.0	359.0	3.0	5.0	3.0	0.0	2.0	0.0	2.0	26.0	2.0	0.0	5.0	108.0	2.0	4.0	0.0	0.0	2.0	49.0	353.0	4.0	29.0	6.0	116.0	0.0	7.0	10.0	91.0	6.0	2.0	0.0	216.0	11.0	0.0	363.0	1568.0	335.0	15.0	15.0	167.0	114.0	2.0	5.0	0.0	5.0	8.0	0.0	26.0	1055.0	30.0	13.0	3.0	4.0	8.0	0.0	106.0	74.0	6.0	7.0	2.0	52.0	6.0	6.0	2.0	2.0	15.0	0.0	2.0	1654.0	0.0	2.0	2.0	13.0	2612.0	0.0	83.0	56.0	14.0	2.0	0.0	4.0	5.0	13.0	0.0	0.0	2.0	9.0	2.0	15.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	8.0	0.0	0.0	103.0	2.0	0.0	4.0	24.0	370.0	4.0	5.0	0.0	2.0	7.0	0.0	2.0	87.0	2.0	0.0	104.0	0.0	0.0	20.0	0.0	0.0	46.0	1331.0	55.0	4.0	4.0	4.0	44.0	2.0	0.0	4.0	138.0	210.0	0.0	4.0	47.0	40.0	10.0	177.0	2.0	47.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae	0.0	4.0	0.0	0.0	0.0	18.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
