# Constructed from biom file
#OTU ID	F42-H8	F25-T8	F35-T8	F08-H0	F25-H0	F24-H0	F37-H0	F21-H0	F26-H8	F17-T8	F27-T8	F36-H8	F18-H0	F30-T8	F25-T0	F28-T0	F44-T0	F08-T0	F31-T8	F27-H8	F42-H0	F01-H0	F24-T0	F31-T0	F08-T8	F45-H0	F32-H8	F19-H0	F06-H0	F23-T8	F30-T0	F22-T0	F04-H0	F37-T8	F10-T8	F10-T0	F17-T0	F19-T0	F36-T8	F26-T0	F18-H8	F04-T0	F19-H8	F12-T8	F14-T8	F12-T0	F39-H0	F34-H0	F12-H8	F33-T0	F17-H0	F06-H8	F21-T0	F45-T8	F28-T8	F11-H8	F14-T0	F44-T8	F23-H0	F45-T0	F20-H8	F45-H8	F35-T0	F18-T8	F22-H8	F13-H8	F08-H8	F06-T8	F42-T8	F38-T8	F06-T0	F39-T0	F04-T8	F11-H0	F09-H8	F30-H8	F15-T0	F09-H0	F20-H0	F16-T0	F10-H0	F42-T0	F30-H0	F14-H8	F23-T0	F38-T0	F16-H8	F20-T0	F35-H8	F37-T0	F39-H8	F05-T0	F31-H8	F33-H0	F10-H8	F33-T8	F11-T8	F01-H8	F20-T8	F09-T8	F21-H8	F24-H8	F16-T8	F28-H8	F05-H0	F15-H0	F44-H8	F13-T0	F32-T0	F37-H8	F14-H0	F09-T0	F01-T0	F19-T8	F39-T8	F34-H8	F27-H0	F04-H8	F05-H8	F31-H0	F32-T8	F01-T8	F21-T8	F22-H0	F32-H0	F33-H8	F15-H8	F05-T8	F36-T0	F18-T0	F16-H0	F25-H8	F26-H0	F34-T8	F22-T8	F17-H8	F38-H8	F38-H0	F44-H0	F27-T0	F28-H0	F24-T8	F23-H8	F34-T0	F13-T8	F36-H0	F15-T8	F26-T8	F35-H0	F12-H0	F13-H0	F11-T0
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae_42771;g__Megamonas;s__Megamonas funiformis	11.0	1435.0	11.0	5163.0	4719.0	20.0	17.0	9.0	20.0	23.0	167.0	4.0	14.0	9.0	6311.0	8.0	19.0	4417.0	8.0	26263.0	2.0	16.0	16.0	5.0	502.0	19.0	17.0	7.0	11.0	5.0	12.0	128.0	2.0	10.0	26.0	5.0	9.0	27.0	15.0	25.0	17.0	8.0	24.0	20.0	14.0	11.0	28.0	20.0	9.0	889.0	14.0	25.0	11.0	0.0	6.0	4.0	9.0	15.0	0.0	8.0	20.0	11.0	1.0	12.0	102.0	12.0	11.0	21.0	2.0	19.0	1276.0	2.0	9.0	8.0	2159.0	4.0	29.0	4382.0	23.0	46.0	14.0	2.0	10.0	10.0	11.0	5.0	7.0	36.0	17.0	12.0	11.0	5.0	7.0	91.0	2569.0	18.0	34.0	20.0	4.0	2304.0	11.0	3.0	38.0	17.0	17.0	8.0	10.0	9.0	6.0	0.0	0.0	3.0	20.0	12.0	44.0	42.0	1957.0	12.0	10.0	7.0	90.0	18.0	13.0	17.0	8.0	378.0	19.0	42.0	2.0	25.0	7.0	5577.0	4.0	29.0	9.0	18.0	13.0	0.0	43.0	67.0	7.0	11.0	10.0	250.0	6.0	17.0	18.0	17.0	11.0	17.0	12.0	7.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis	0.0	18.0	2.0	3.0	6.0	15.0	0.0	12.0	0.0	5.0	51.0	0.0	5.0	2.0	0.0	14.0	0.0	0.0	6.0	2.0	0.0	4.0	0.0	0.0	0.0	25.0	11.0	3.0	7.0	0.0	4.0	0.0	0.0	2.0	2.0	2.0	6.0	2.0	15.0	0.0	19.0	2.0	9.0	28.0	37.0	4.0	2.0	8.0	0.0	2.0	7.0	12.0	0.0	0.0	16.0	31.0	8.0	0.0	0.0	0.0	5.0	4.0	4.0	4.0	3.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	23.0	0.0	5.0	0.0	0.0	11.0	0.0	4.0	2.0	0.0	7.0	2.0	0.0	7.0	3.0	11.0	0.0	0.0	0.0	0.0	8.0	2.0	4.0	27.0	2.0	3.0	0.0	8.0	0.0	7.0	13.0	0.0	0.0	5.0	3.0	7.0	0.0	0.0	5.0	0.0	6.0	0.0	26.0	7.0	3.0	2.0	4.0	6.0	4.0	0.0	2.0	13.0	0.0	2.0	0.0	7.0	15.0	2.0	6.0	0.0	38.0	7.0	19.0	0.0	0.0	0.0	17.0	7.0	0.0	0.0	33.0	6.0	27.0	0.0	3.0	0.0	4.0	7.0	47.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella timonensis	14.0	2616.0	17.0	24.0	5853.0	19.0	27.0	26.0	4911.0	45.0	22.0	14.0	7.0	26.0	2501.0	18.0	17.0	1333.0	22.0	24.0	2.0	18.0	18.0	0.0	7.0	19.0	24.0	9.0	9.0	70.0	24.0	45.0	7.0	12.0	52.0	28.0	9.0	32.0	15.0	22.0	15.0	9.0	70.0	28.0	14.0	12.0	17.0	13.0	7.0	15.0	21.0	13.0	4.0	18.0	15.0	48.0	19.0	18.0	1100.0	8.0	16.0	16.0	1.0	12.0	138.0	16.0	27.0	29.0	10.0	26.0	23.0	5.0	9.0	15.0	704.0	6.0	7339.0	1947.0	28.0	40.0	16.0	6.0	11.0	9.0	5382.0	6.0	9.0	14.0	16.0	10.0	11.0	3499.0	36.0	12.0	14.0	7.0	13.0	14.0	62.0	4027.0	7.0	6.0	20.0	21.0	825.0	497.0	16.0	55.0	75.0	5.0	4.0	38.0	7.0	15.0	5.0	34.0	6.0	14.0	549.0	19.0	35.0	11.0	25.0	17.0	495.0	9.0	1786.0	1067.0	4.0	41.0	15.0	10553.0	1856.0	20.0	7.0	16.0	15.0	2.0	36.0	10.0	6.0	21.0	639.0	66.0	8.0	12.0	991.0	9114.0	13.0	7.0	23.0	5.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella massiliensis	332.0	4.0	14.0	8.0	4.0	4.0	39.0	7.0	4.0	8.0	2.0	3.0	2.0	13.0	7.0	8.0	3.0	85.0	0.0	15.0	144.0	4.0	5.0	2.0	8.0	5.0	367.0	2.0	4.0	130.0	16.0	47.0	2.0	132.0	19.0	12.0	5.0	113.0	5.0	4.0	5.0	0.0	14.0	1782.0	8.0	1176.0	8.0	4.0	379.0	31.0	5.0	6.0	5.0	4.0	6.0	11.0	6.0	4.0	334.0	3.0	7.0	4.0	43.0	6.0	7.0	4.0	6.0	2.0	394.0	10.0	8.0	6.0	6.0	6.0	604.0	4.0	636.0	127.0	4.0	9.0	4.0	176.0	4.0	3.0	1542.0	2.0	4.0	6.0	136.0	3.0	7.0	7.0	9.0	210.0	348.0	37.0	2.0	6.0	9.0	163.0	4.0	2.0	5.0	4.0	16.0	112.0	0.0	5.0	13.0	6.0	2.0	2.0	2.0	209.0	33.0	6.0	2.0	2.0	180.0	2.0	118.0	3.0	7.0	8.0	182.0	193.0	243.0	11.0	0.0	7.0	4.0	6.0	0.0	9.0	13.0	2.0	4.0	0.0	15.0	4.0	2.0	4.0	156.0	6.0	4.0	6.0	148.0	2.0	83.0	368.0	8.0	12.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__;__	557.0	43.0	855.0	37.0	404.0	29.0	363.0	2.0	20.0	2220.0	2709.0	10.0	940.0	933.0	18.0	1154.0	1859.0	21.0	530.0	1445.0	489.0	604.0	14.0	31.0	20.0	2312.0	430.0	2.0	904.0	47.0	405.0	1570.0	196.0	2041.0	3.0	17.0	1345.0	2.0	16.0	52.0	827.0	193.0	28.0	3130.0	204.0	2892.0	722.0	661.0	1027.0	7.0	837.0	2256.0	0.0	2330.0	822.0	1009.0	856.0	1292.0	43.0	113.0	1792.0	2670.0	5.0	14.0	1662.0	25.0	11.0	6315.0	528.0	174.0	28.0	199.0	832.0	500.0	13.0	950.0	4715.0	13.0	874.0	19.0	3.0	170.0	510.0	465.0	60.0	986.0	16.0	2078.0	3307.0	425.0	61.0	21.0	83.0	20.0	53.0	7.0	1044.0	45.0	252.0	24.0	5.0	8.0	91.0	1125.0	21.0	434.0	41.0	18.0	71.0	205.0	254.0	2908.0	44.0	5.0	188.0	1681.0	307.0	422.0	10.0	1362.0	799.0	759.0	16.0	401.0	308.0	10.0	2068.0	0.0	6.0	143.0	13.0	75.0	14.0	828.0	503.0	1427.0	27.0	293.0	684.0	2220.0	789.0	22.0	31.0	778.0	9.0	16.0	1939.0	34.0	2236.0	2555.0	20.0	645.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;__;__	888.0	694.0	884.0	1924.0	342.0	3012.0	1065.0	2180.0	1237.0	408.0	601.0	2459.0	550.0	1339.0	369.0	1115.0	2384.0	1751.0	703.0	5029.0	793.0	1821.0	2316.0	511.0	298.0	468.0	737.0	1294.0	1098.0	1682.0	1026.0	857.0	417.0	1995.0	826.0	470.0	882.0	3014.0	216.0	995.0	650.0	1067.0	6114.0	868.0	3095.0	281.0	2515.0	528.0	1155.0	553.0	877.0	590.0	691.0	601.0	1160.0	996.0	980.0	2770.0	229.0	240.0	419.0	155.0	2005.0	1603.0	761.0	1667.0	914.0	618.0	259.0	5416.0	664.0	84.0	407.0	2161.0	720.0	808.0	1363.0	1373.0	461.0	1633.0	697.0	314.0	930.0	175.0	367.0	380.0	1109.0	350.0	554.0	1150.0	1368.0	749.0	1870.0	426.0	1268.0	1174.0	485.0	2421.0	363.0	3756.0	1803.0	1074.0	665.0	2255.0	402.0	856.0	1785.0	650.0	646.0	288.0	226.0	231.0	1229.0	1027.0	692.0	933.0	1431.0	1579.0	813.0	822.0	920.0	597.0	1796.0	3024.0	788.0	937.0	1602.0	479.0	193.0	806.0	2974.0	523.0	922.0	2361.0	1307.0	1765.0	2372.0	289.0	10656.0	301.0	2105.0	2767.0	677.0	777.0	540.0	1504.0	173.0	2369.0	1478.0	5401.0	1241.0	345.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H_857956;__	210.0	122.0	1746.0	189.0	149.0	307.0	1007.0	4693.0	65.0	813.0	88.0	139.0	965.0	5948.0	60.0	515.0	2371.0	26.0	2245.0	284.0	350.0	1012.0	534.0	187.0	28.0	2251.0	330.0	3029.0	695.0	151.0	3731.0	2769.0	715.0	1947.0	4301.0	1136.0	1020.0	1319.0	343.0	1731.0	3485.0	1175.0	1888.0	307.0	112.0	178.0	563.0	225.0	110.0	2844.0	943.0	1996.0	554.0	743.0	187.0	322.0	192.0	1591.0	128.0	338.0	445.0	686.0	184.0	1279.0	2431.0	2383.0	647.0	3894.0	211.0	614.0	161.0	146.0	1333.0	490.0	30.0	867.0	762.0	38.0	925.0	964.0	1118.0	96.0	858.0	269.0	187.0	737.0	5830.0	335.0	560.0	1269.0	156.0	31.0	7009.0	1092.0	298.0	4064.0	265.0	972.0	340.0	63.0	3384.0	279.0	1527.0	315.0	48.0	42.0	789.0	833.0	119.0	575.0	51.0	1875.0	440.0	1371.0	432.0	1232.0	65.0	4427.0	35.0	2152.0	311.0	6092.0	4059.0	511.0	162.0	1528.0	288.0	73.0	849.0	111.0	3241.0	170.0	110.0	579.0	269.0	5048.0	123.0	170.0	3891.0	77.0	394.0	1299.0	120.0	649.0	597.0	139.0	61.0	304.0	1501.0	195.0	1145.0	647.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;__	1706.0	264.0	658.0	1667.0	313.0	729.0	1035.0	722.0	1013.0	3214.0	452.0	154.0	1364.0	761.0	71.0	1238.0	1818.0	1138.0	1355.0	823.0	878.0	2082.0	293.0	31.0	1204.0	801.0	824.0	2378.0	3927.0	2561.0	437.0	487.0	668.0	1424.0	1977.0	916.0	488.0	4048.0	909.0	1464.0	1787.0	476.0	3320.0	191.0	601.0	535.0	3506.0	891.0	501.0	1422.0	351.0	1124.0	190.0	141.0	89.0	769.0	538.0	3222.0	688.0	331.0	453.0	229.0	106.0	500.0	1015.0	797.0	1656.0	12764.0	3832.0	3491.0	5703.0	305.0	2740.0	1828.0	502.0	367.0	627.0	204.0	3039.0	962.0	397.0	5276.0	1190.0	1253.0	1287.0	1062.0	1025.0	287.0	1507.0	1607.0	2010.0	485.0	583.0	1899.0	1136.0	421.0	504.0	2478.0	1389.0	1056.0	331.0	131.0	3098.0	4657.0	841.0	286.0	2393.0	641.0	300.0	133.0	64.0	2331.0	1182.0	748.0	698.0	1591.0	516.0	813.0	902.0	3398.0	3408.0	260.0	2211.0	329.0	318.0	1271.0	208.0	612.0	345.0	1090.0	1532.0	65.0	176.0	1912.0	489.0	913.0	2282.0	140.0	7371.0	6.0	806.0	2058.0	2234.0	1185.0	405.0	80.0	143.0	745.0	2259.0	107.0	440.0	409.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus	2.0	43.0	74.0	3.0	61.0	0.0	0.0	0.0	0.0	3.0	92.0	0.0	2.0	9.0	75.0	2.0	2.0	0.0	1.0	3144.0	0.0	71.0	32.0	0.0	4.0	214.0	2.0	1.0	25.0	0.0	9.0	0.0	22.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	58.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	10.0	0.0	436.0	0.0	0.0	1.0	0.0	0.0	25.0	9.0	36.0	128.0	1.0	0.0	65.0	2.0	7.0	0.0	0.0	2.0	2.0	5.0	0.0	0.0	22.0	0.0	0.0	8.0	88.0	2.0	2.0	2.0	2.0	2.0	4.0	35.0	3.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	165.0	2.0	0.0	0.0	1.0	27.0	0.0	2.0	0.0	2.0	48.0	0.0	2.0	2.0	7.0	31.0	0.0	0.0	0.0	323.0	19.0	0.0	0.0	2.0	20.0	5.0	0.0	0.0	2.0	0.0	16.0	0.0	1.0	153.0	276.0	0.0	0.0	1.0	0.0	7.0	2.0	0.0	24.0	2.0	0.0	0.0	16.0	24.0	28.0	2.0	0.0	15.0	0.0	120.0	5.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Christensenellales;f__CAG-138;g__CAG-1024;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	4.0	8.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	4.0	4.0	0.0	6.0	2.0	2.0	0.0	0.0	0.0	16.0	8.0	2.0	2.0	12.0	7.0	4.0	3.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	0.0	0.0	10.0	0.0	0.0	16.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	9.0	0.0	17.0	0.0	4.0	0.0	7.0	0.0	2.0
